uloha_1 a),uloha_1 b)_prior,skupina,uloha_1 b)_pozorování
2,3.63478542875325,0,3.62665606859331
2,2.86811285844134,0,3.00826853328995
1,2.14916006826643,0,2.98982912530024
3,4.2630654823431,0,2.37162970165906
0,2.59474496903995,0,4.00936578023349
1,2.59228407845312,0,4.60054709656956
1,5.02181552091107,0,4.38342466343076
3,3.12996382738066,0,1.82991652727576
2,3.85048475800493,0,4.79467881718193
2,4.48302446111057,0,2.13491454452299
3,2.87645322168069,1,3.76904842722918
1,3.4955861009574,1,2.4117520138034
5,3.0981427368445,1,3.36730243383937
3,4.20954145607598,1,4.7189663239422
1,4.39243586274356,1,5.4154116163989
1,3.03236731090784,1,2.62450515747335
2,3.88291175668836,1,3.03030187501838
1,3.98031560592794,1,2.36932610282503
1,3.76862490457705,1,1.6530856397884
1,3.9276686228228,1,2.31939549583202
2,1.39201971111641,2,2.16248428013214
3,1.29449600994289,2,1.44131082779888
2,3.65015506786961,2,3.20589364386456
0,3.69062866875646,2,2.73444461962708
3,3.09520042996931,2,4.23590761366712
1,1.81344135909571,2,1.81958246456141
2,5.82710177774204,2,2.41098605546699
1,4.53050589737936,2,3.461935720202
5,3.54999586794648,2,2.13660263413697
1,2.21649762701131,2,3.65127485722928
0,3.2282473807438,3,3.72368379451568
0,3.62151797417474,3,2.77059499705348
2,2.88064848399124,3,2.14489847679841
1,4.53172310640475,3,4.4308145851424
1,2.94107501292806,3,2.23220634243259
0,1.86426281284231,3,2.98545409580173
0,2.20345795205677,3,2.91710285169843
1,1.80635073381035,3,2.19356229251406
3,3.25159661000317,3,4.1126458782621
1,3.44261426401789,3,4.1056538268829
0,2.51074785326135,4,1.68880020234077
1,5.46172780381097,4,2.45266318335542
2,3.62402982149835,4,3.71461156312296
0,4.19273257887008,4,3.09046938110928
1,4.6878886752524,4,1.4469013310026
3,2.84166733260241,4,3.69966545512063
0,3.84010879264745,4,2.31832920840273
1,3.2154930843899,4,3.16781179222586
1,3.03965179259823,4,3.77635842535944
4,2.44162983025046,4,2.91609766103835
1,1.87524830221619,5,3.16566364993628
2,2.64609855379261,5,2.85939526029188
1,2.58536407064686,5,2.35647043265551
1,3.21448803947998,5,2.79113208026292
2,4.05818695355725,5,2.45007944531064
